Index,SPX,SBW
8/1/14,-0.002863206,0.003135381
8/5/14,-0.009732664,-0.0030059
8/6/14,1.56E-05,0.001576391
8/7/14,-0.005572092,0.001359043
8/8/14,0.011465412,0.003595846
8/12/14,-0.00163796,-0.000628791
8/13/14,0.006684782,0.000769453
8/14/14,0.004336356,0.001488809
8/15/14,-6.14E-05,0.002449479
8/19/14,0.004988198,-0.001735262
8/20/14,0.002474731,-0.002399065
8/21/14,0.002945555,-0.001332518
8/22/14,-0.00199459,-0.001833857
8/27/14,5.00E-05,0.00223669
8/28/14,-0.001691328,-6.97E-06
8/29/14,0.003314912,-0.000223055
9/3/14,-0.000779415,0.000261864
9/4/14,-0.001535626,-0.005035084
9/5/14,0.005023279,0.001006013
9/9/14,-0.006566473,-0.005708105
9/10/14,0.003639443,-0.002355658
9/11/14,0.000881512,-0.000171775
9/12/14,-0.00598045,-0.003465218
9/16/14,0.00745652,-6.75E-05
9/17/14,0.001294822,0.001353691
9/18/14,0.004879238,-0.005131701
9/19/14,-0.000477403,-0.001008819
9/23/14,-0.00579324,0.002386314
9/24/14,0.007801962,-0.001625541
9/25/14,-0.016300884,2.48E-05
9/26/14,0.008539268,-0.00328935
9/30/14,-0.002789812,-0.001855583
10/1/14,-0.013337104,0.001723054
10/2/14,5.14E-06,0.003335879
10/3/14,0.011103646,-0.008413293
10/7/14,-0.015241633,0.005198853
10/8/14,0.017310927,0.00257558
10/9/14,-0.020877821,0.002937132
10/10/14,-0.011517103,-0.003112485
10/14/14,0.00157764,0.002277304
10/15/14,-0.008133321,0.007614607
10/16/14,0.000144957,-0.002667671
10/17/14,0.012801813,-0.002446245
10/21/14,0.019385361,-0.000552081
10/22/14,-0.007326078,-0.003563665
10/23/14,0.012228326,-0.003875609
10/24/14,0.007028685,0.001027601
10/28/14,0.011868342,0.000411446
10/29/14,-0.001386316,-0.000441327
10/30/14,0.00621081,-0.005678454
10/31/14,0.011663102,-0.008865224
11/4/14,-0.002833812,0.006553903
11/5/14,0.005684325,-0.00664207
11/6/14,0.003768396,-0.002535922
11/7/14,0.000349484,-0.00025472
11/11/14,0.00069643,-0.003229348
11/12/14,-0.000701336,0.002369509
11/13/14,0.000529726,-0.000983437
11/14/14,0.000240246,-0.000173375
11/18/14,0.005120799,0.001109344
11/19/14,-0.001502249,-0.002513279
11/20/14,0.00196515,0.00084001
11/21/14,0.005223213,-0.000778808
11/25/14,-0.001150748,0.004544778
11/26/14,0.002802029,0.003257968
12/2/14,0.006364115,-0.006165868
12/3/14,0.00375766,-0.002841627
12/4/14,-0.001162496,0.002831446
12/5/14,0.001663737,-0.008509351
12/9/14,-0.000237857,0.009354712
12/10/14,-0.016486095,0.000764166
12/11/14,0.004525463,-0.002559074
12/12/14,-0.016346465,0.00619519
12/16/14,-0.008525252,0.007019023
12/17/14,0.020148061,-0.004648381
12/18/14,0.023731392,-0.007292175
12/19/14,0.004559676,-0.001106608
12/23/14,0.001744895,-0.005847336
12/30/14,-0.004900607,0.003469424
1/6/15,-0.008933269,0.005151657
1/7/15,0.011562716,-0.006241468
1/8/15,0.017730232,-0.000996568
1/9/15,-0.008439403,0.004050419
1/13/15,-0.002581895,0.000573424
1/14/15,-0.005830024,0.006362034
1/15/15,-0.009290915,-0.004531624
1/16/15,0.013334893,-0.004015852
1/21/15,0.004720492,-0.000759652
1/22/15,0.015154358,-0.00666725
1/23/15,-0.005506737,-0.001409614
1/27/15,-0.013478269,0.006566314
1/28/15,-0.013587496,-0.001136806
1/29/15,0.009489534,-0.002174996
1/30/15,-0.013077094,0.002312166
2/3/15,0.014336212,-0.000930411
2/4/15,-0.004164697,-0.001801297
2/5/15,0.010238806,0.001108721
2/6/15,-0.003424004,-0.008903816
2/10/15,0.010618932,-0.004250797
2/11/15,-2.90E-05,-0.003006565
2/12/15,0.009598319,0.006287987
2/13/15,0.004066455,0.000891814
2/18/15,-0.000314284,-0.000793817
2/19/15,-0.001062631,0.001097649
2/20/15,0.006107796,-0.000155673
2/24/15,0.00275494,0.001111214
2/25/15,-0.000766077,0.003825567
2/26/15,-0.001477063,-0.005545788
2/27/15,-0.002960688,-0.000293063
3/3/15,-0.004548937,-0.001624461
3/4/15,-0.004398161,-0.004825501
3/5/15,0.001195361,-0.000727794
3/6/15,-0.014275342,-0.010919889
3/10/15,-0.017106871,-0.001652326
3/11/15,-0.001919499,-0.002453903
3/12/15,0.012522721,0.002999766
3/13/15,-0.006093213,-0.004643407
3/17/15,-0.00332574,0.000483035
3/18/15,0.012085116,0.00573992
3/19/15,-0.004884498,0.001431534
3/20/15,0.008972345,0.008879639
3/24/15,-0.006158383,-0.000407489
3/25/15,-0.01466595,0.00336634
3/26/15,-0.00238026,-0.003653489
3/27/15,0.002365704,-0.001406558
3/31/15,-0.008834639,-0.001145231
4/1/15,-0.003973278,0.002854331
4/2/15,0.003523443,0.002905667
4/8/15,0.002679026,-0.000878171
4/9/15,0.004447562,-0.006863467
4/10/15,0.005189316,-0.001279256
4/14/15,0.001628358,0.008949296
4/15/15,0.005135087,-0.002273142
4/16/15,-0.000778798,0.003670776
4/17/15,-0.011375676,0.003304715
4/21/15,-0.001481768,-0.001958178
4/22/15,0.00507462,-0.002604458
4/23/15,0.002354955,0.003282832
4/24/15,0.002250262,0.004723712
4/28/15,0.002765363,0.003728783
4/29/15,-0.00374739,0.00069141
4/30/15,-0.010180511,-0.002429059
5/1/15,0.010863763,-0.003287252
5/6/15,-0.004465653,0.003587042
5/7/15,0.003766664,-0.002599152
5/8/15,0.013368102,0.002374687
5/12/15,-0.002954015,-0.000109957
5/13/15,-0.000304936,0.004444986
5/14/15,0.010721549,0.001366265
5/15/15,0.000768174,0.006755351
5/19/15,-0.000643641,-0.009427531
5/20/15,-0.000930959,-0.002147234
5/21/15,0.00233516,0.001799239
5/22/15,-0.002236381,-0.004603842
5/27/15,0.009120905,-0.001252245
5/28/15,-0.001267592,0.000106456
5/29/15,-0.006338446,0.003669768
6/2/15,-0.001009161,0.003609182
6/3/15,0.002116643,-0.001398478
6/4/15,-0.008660572,0.000805014
6/5/15,-0.001437211,-0.011163353
6/9/15,0.000418327,0.001988822
6/10/15,0.011970468,0.003432498
6/11/15,0.001737043,-0.000431402
6/12/15,-0.007018875,0.002528186
6/16/15,0.005673679,0.001196628
6/17/15,0.001977731,-0.000865914
6/18/15,0.009853977,0.009225158
6/19/15,-0.005317615,0.000342014
6/23/15,0.000635735,-0.009268882
6/24/15,-0.007380526,-0.000380387
6/25/15,-0.002977995,0.000834043
6/26/15,-0.000390123,-0.004450592
6/30/15,0.002654858,0.00103925
7/1/15,0.006912186,-0.005677666
7/2/15,-0.000308122,-0.001552638
7/7/15,0.006062523,-0.00023813
7/8/15,-0.016792949,0.00718058
7/9/15,0.002259645,-0.003636991
7/10/15,0.012262959,-0.002293983
7/14/15,0.004443343,0.001046905
7/15/15,-0.000735233,0.000186757
7/16/15,0.007982669,-0.001301505
7/17/15,0.001105641,0.000312017
7/21/15,-0.004270764,0.002774897
7/22/15,-0.002390537,0.000194924
7/23/15,-0.00569221,0.003329918
7/24/15,-0.01076102,0.001806221
7/28/15,0.012310022,-0.003013082
7/29/15,0.007292111,-0.001043259
7/30/15,2.85E-05,-0.003474529
7/31/15,-0.002274201,0.007241175
8/4/15,-0.002252253,-0.000869677
8/5/15,0.003109829,-0.008949991
8/6/15,-0.007783182,0.002335912
8/7/15,-0.002879028,0.004190663
8/11/15,-0.00960313,0.005248719
8/12/15,0.000949613,0.007570949
8/13/15,-0.001275951,-0.005560116
8/14/15,0.003904262,-0.000802999
8/18/15,-0.002628974,-0.002512446
8/19/15,-0.008289225,0.001799498
8/20/15,-0.021325899,0.007641583
8/21/15,-0.03236926,0.006133722
8/25/15,-0.013614263,-0.013496396
8/26/15,0.038291287,-0.00020116
8/27/15,0.024007242,-0.009364403
8/28/15,0.000608571,-0.000342358
9/2/15,0.018127666,-0.002225438
9/3/15,0.001164106,-0.002321624
9/4/15,-0.015448291,0.004953012
9/9/15,-0.013995039,-0.002732206
9/10/15,0.005264076,0.001765375
9/11/15,0.004477002,0.003429001
9/15/15,0.01274972,-0.004552367
9/16/15,0.008667694,-0.00014981
9/17/15,-0.002564291,0.001589028
9/18/15,-0.01629627,0.009794386
9/22/15,-0.01239494,0.001883993
9/23/15,-0.002050754,-0.001787505
9/24/15,-0.003368642,0.007815644
9/25/15,-0.000465889,-0.009140066
9/29/15,0.001232122,0.001519018
9/30/15,0.018895865,-0.001609045
10/1/15,0.001971982,0.003410475
10/2/15,0.014213773,0.005797265
10/6/15,-0.003594687,0.001633822
10/7/15,0.008003564,-0.000194263
10/8/15,0.008779731,0.000851133
10/9/15,0.000724868,0.001767282
10/13/15,-0.006848814,-0.000270484
10/14/15,-0.004727455,0.006621916
10/15/15,0.014743554,-0.000842652
10/16/15,0.004560061,-0.001394763
10/20/15,-0.001422094,-0.001977498
10/21/15,-0.00584241,0.001921091
10/22/15,0.016490813,-0.00421571
10/23/15,0.010970006,-0.00678098
10/27/15,-0.002557367,0.002953669
10/28/15,0.01177039,-0.000627306
10/29/15,-0.000449787,-0.008754792
10/30/15,-0.004821575,0.004939514
11/3/15,0.002724358,-0.004475047
11/4/15,-0.003551676,-0.004705241
11/5/15,-0.001132729,-0.001326646
11/6/15,-0.000347691,-0.011836835
11/10/15,0.001509507,0.000992222
11/11/15,-0.003233321,0.002721426
11/12/15,-0.014089149,0.001177901
11/13/15,-0.011270674,0.001149631
11/17/15,-0.001340277,-0.002296819
11/18/15,0.016033164,0.000517956
11/19/15,-0.001123698,0.006343816
11/20/15,0.003802988,-0.002108749
11/24/15,0.001221343,0.002254768
11/25/15,-0.000129248,-0.000803524
12/1/15,0.010623952,0.004093385
12/2/15,-0.011056653,-0.002523294
12/3/15,-0.014477879,0.001871105
12/4/15,0.020317942,0.001664527
12/8/15,-0.006511062,0.00113017
12/9/15,-0.007769041,0.004946018
12/10/15,0.002248864,-7.47E-05
12/11/15,-0.019613875,0.004773669
12/15/15,0.010562534,-0.007989875
12/16/15,0.014410619,-0.000378155
12/17/15,-0.015154751,-0.002870675
12/18/15,-0.017957512,0.005407222
12/22/15,0.008778122,-0.000528922
12/23/15,0.012341563,-0.004237797
12/30/15,-0.007243399,7.91E-05
1/5/16,0.00201024,-0.001986405
1/6/16,-0.013202187,0.003927411
1/7/16,-0.023985794,0.002579724
1/8/16,-0.01089757,0.003992794
1/12/16,0.007772509,-0.001365793
1/13/16,-0.025282363,0.002226881
1/14/16,0.016558094,-0.001872278
1/15/16,-0.021835767,0.007570779
1/20/16,-0.011762766,0.004310851
1/21/16,0.00518197,-0.003695662
1/22/16,0.020080709,-0.001988478
1/26/16,0.014045212,0.002948445
1/27/16,-0.010922894,0.000343442
1/28/16,0.005513333,0.003515563
1/29/16,0.024458648,-0.003121776
2/2/16,-0.018920982,0.00315536
2/3/16,0.00497962,0.011500783
2/4/16,0.001525609,0.005348502
2/5/16,-0.01865421,-0.001338944
2/9/16,-0.000663851,0.007710393
2/10/16,-0.000188981,-0.003121823
2/11/16,-0.012377431,0.011563422
2/12/16,0.019329975,-0.009339764
2/17/16,0.016346115,-0.001559286
2/18/16,-0.004676637,0.003712895
2/19/16,-2.61E-05,0.001822066
2/23/16,-0.012532588,0.001790943
2/24/16,0.004429945,0.002923764
2/25/16,0.011284417,-0.000733894
2/26/16,-0.001871915,-0.007986596
3/1/16,0.023588388,-0.003496295
3/2/16,0.004085962,-0.002585258
3/3/16,0.003492597,0.005536654
3/4/16,0.003300457,0.000692314
3/8/16,-0.011303756,0.009485885
3/9/16,0.005039673,-0.007239432
3/10/16,0.000155825,0.000804596
3/11/16,0.016262548,0.000825227
3/15/16,-0.00183865,-0.000167448
3/16/16,0.005584769,-0.001114471
3/17/16,0.006573585,0.018057243
3/18/16,0.004395912,0.001817893
3/22/16,-0.000877749,-0.001732136
3/23/16,-0.006406467,-0.003168887
3/24/16,-0.000378132,-0.001555384
3/30/16,0.004340908,0.008350232
3/31/16,-0.002041861,0.001405864
4/1/16,0.00631094,-0.001328801
4/5/16,-0.010196377,0.001511061
4/6/16,0.010452862,-0.000541189
4/7/16,-0.012048133,0.006073514
4/8/16,0.002782731,0.000114593
4/12/16,0.009615763,-0.005748208
4/13/16,0.009990093,-0.002867156
4/14/16,0.000172861,-0.001617559
4/15/16,-0.000984746,0.00353158
4/19/16,0.003079757,0.000433225
4/20/16,0.000761325,-0.001003477
4/21/16,-0.0052076,-0.004937964
4/22/16,4.78E-05,-0.006862505
4/26/16,0.001871042,0.000969217
4/27/16,0.001648017,-6.88E-05
4/28/16,-0.009273711,0.008570527
4/29/16,-0.005075945,0.007945905
5/4/16,-0.005954583,-0.003007638
5/5/16,-0.000238922,-0.002530865
5/6/16,0.003169606,0.002217011
5/10/16,0.012406388,-0.001207395
5/11/16,-0.009607555,0.002866511
5/12/16,-0.00016955,-0.002452832
5/13/16,-0.008514375,-0.003654515
5/17/16,-0.009455887,0.000889105
5/18/16,0.000205136,-0.006425079
5/19/16,-0.003713611,-0.003214698
5/20/16,0.006001445,-0.000576153
5/24/16,0.013588628,-0.001250024
5/25/16,0.006950539,4.59E-05
5/26/16,-0.000210494,0.0041866
5/27/16,0.004277714,-0.002514131
6/1/16,0.001129569,0.003599826
6/2/16,0.002820729,0.002910294
6/3/16,-0.002916002,0.0133358
6/7/16,0.001288629,0.001853985
6/8/16,0.003303991,0.003298816
6/9/16,-0.001719171,-0.000424562
6/10/16,-0.009217574,-0.000811075
6/14/16,-0.00180051,-0.002003646
6/15/16,-0.001842376,0.002614896
6/16/16,0.003128098,0.002134291
6/17/16,-0.003263275,0.000328029
6/21/16,0.002708437,-0.003126708
6/22/16,-0.001652952,7.92E-05
6/23/16,0.013275511,-0.00046745
6/24/16,-0.036580777,0.003172001
6/28/16,0.017614158,0.002863043
6/29/16,0.016889217,0.003554938
6/30/16,0.013473821,9.44E-05
7/1/16,0.001946781,0.002635505
7/6/16,0.00533872,1.20E-05
7/7/16,-0.000871921,-0.000194773
7/8/16,0.015138186,0.000977401
7/12/16,0.006984851,-0.005923539
7/13/16,0.000134741,0.004005368
7/14/16,0.005245391,-0.004571916
7/15/16,-0.000929375,-0.006350304
7/19/16,-0.001436268,-0.002818624
7/20/16,0.004261213,-0.001555792
7/21/16,-0.003619025,0.000137014
7/22/16,0.004543577,-0.000856959
7/26/16,0.000322755,0.003684216
7/27/16,-0.001199329,0.001020867
7/28/16,0.00160493,0.005222847
7/29/16,0.001629962,0.010555175
8/2/16,-0.006381914,0.00181796
8/3/16,0.003129038,-0.002372819
8/4/16,0.000212567,0.001398259
8/5/16,0.008566644,-0.005759497
8/9/16,0.000389673,0.004708249
8/10/16,-0.002868797,0.006204485
8/11/16,0.004723393,-0.000982226
8/12/16,-0.000796368,0.001908393
8/16/16,-0.005494142,0.001580863
8/17/16,0.001866815,0.001365526
8/18/16,0.002197179,0.004419136
8/19/16,-0.001441354,-0.002758529
8/23/16,0.001949863,0.001402876
8/24/16,-0.005254073,-0.003986686
8/25/16,-0.001366174,0.000303835
8/26/16,-0.001580096,-0.000605501
8/31/16,-0.002378615,-0.003094872
9/1/16,-4.15E-05,0.001737469
9/2/16,0.0041923,-0.004992202
9/7/16,-0.000146365,0.002860502
9/8/16,-0.002225551,-0.003784149
9/9/16,-0.024827748,-0.010585117
9/13/16,-0.014941739,-0.002143343
9/14/16,-0.000587849,-0.000499422
9/15/16,0.010058521,0.000289896
9/16/16,-0.003779382,-0.002341963
9/20/16,0.000299144,0.001898118
9/21/16,0.010857951,0.000846673
9/22/16,0.006478837,0.007790781
9/23/16,-0.005753297,-0.001072515
9/27/16,0.006423572,-0.000233734
9/28/16,0.005282491,-0.000234512
9/29/16,-0.009365019,-0.001591505
9/30/16,0.007936329,-0.000410742
10/4/16,-0.0049679,-0.006834885
10/5/16,0.004287491,-0.004258442
10/6/16,0.000481426,-0.003550218
10/7/16,-0.003258774,0.000381807
10/11/16,-0.012524609,-0.004689551
10/12/16,0.001145955,-0.003612168
10/13/16,-0.003104131,0.003908029
10/14/16,0.000201616,-0.004591562
10/18/16,0.00614146,0.001521481
10/19/16,0.0021896,0.001752578
10/20/16,-0.001376694,-0.002469606
10/21/16,-8.41E-05,-0.00160636
10/25/16,-0.00380488,-0.001391453
10/26/16,-0.001741937,8.86E-05
10/27/16,-0.002991246,-0.005816525
10/28/16,-0.00311308,-0.001284006
11/1/16,-0.006810051,0.002750121
11/2/16,-0.00654687,0.008128853
11/3/16,-0.004433199,-0.000883659
11/4/16,-0.00166753,0.002723442
11/8/16,0.00376486,-0.001106364
11/9/16,0.011016143,-0.007229687
11/10/16,0.001948859,-0.013169922
11/11/16,-0.001398915,-0.003152055
11/15/16,0.007452982,0.000915974
11/16/16,-0.001583539,-0.003515003
11/17/16,0.004665389,-0.000329101
11/18/16,-0.002389553,-0.009112751
11/22/16,0.002163087,-0.001049438
11/23/16,0.000807685,-0.007924752
11/29/16,0.001334429,0.00103595
11/30/16,-0.002656997,-0.004287448
12/1/16,-0.003521732,-0.003951047
12/2/16,0.000396986,0.005897741
12/6/16,0.003405076,0.000410696
12/7/16,0.013077306,0.003594002
12/8/16,0.002157085,-0.00919978
12/9/16,0.005921379,-0.006233011
12/13/16,0.006518479,0.003340033
12/14/16,-0.008150321,0.002737874
12/15/16,0.003875708,-0.019375567
12/16/16,-0.001752174,0.001228942
12/20/16,0.003630921,-0.004180006
12/21/16,-0.002460351,0.004005911
12/22/16,-0.001864724,-0.000246704
12/29/16,-0.000293387,0.007458673
1/4/17,0.005705998,0.003838269
1/5/17,-0.000770968,0.009475781
1/6/17,0.003510798,-0.004572553
1/10/17,0,0.00337867
1/11/17,0.002825569,-0.006307135
1/12/17,-0.002147057,0.012947565
1/13/17,0.001848153,-0.004492799
1/18/17,0.0017622,-0.002706305
1/19/17,-0.003615859,-0.01014016
1/20/17,0.003360532,0.001169206
1/24/17,0.006543089,-0.001236703
1/25/17,0.007994032,-0.004050274
1/26/17,-0.000735574,-0.006274515
1/27/17,-0.000866844,0.001560906
1/31/17,-0.000890396,0.007780222
2/1/17,0.000298349,-0.005096777
2/2/17,0.000570125,0.004811254
2/3/17,0.007238574,-0.001207403
2/7/17,0.000226795,-0.000384912
2/8/17,0.00069315,0.004934058
2/9/17,0.005735979,-0.003346144
2/10/17,0.003559715,-0.004078301
2/14/17,0.003999294,-0.004095717
2/15/17,0.004979922,-0.001063794
2/16/17,-0.000864479,0.008470171
2/17/17,0.001677174,-0.000163237
2/22/17,-0.001082865,0.002120225
2/23/17,0.000418903,0.00594206
2/24/17,0.001492238,0.002723767
2/28/17,-0.002581661,0.001019459
3/1/17,0.013581182,-0.011033354
3/2/17,-0.0058771,-0.003454283
3/3/17,0.000503668,0.000914197
3/7/17,-0.002917556,-0.001756945
3/8/17,-0.002286865,-0.005169359
3/9/17,0.000799518,-0.001650602
3/10/17,0.003263348,0.000969273
3/14/17,-0.003384741,-0.000176526
3/15/17,0.008339854,0.00305376
3/16/17,-0.001627981,0.006797961
3/17/17,-0.001315228,0.001297593
3/21/17,-0.012485615,0.004700872
3/22/17,0.001888132,0.003943451
3/23/17,-0.001060836,-0.000913286
3/24/17,-0.000844361,0.00152742
3/28/17,0.007225317,-0.000422191
3/29/17,0.001084815,-0.004294277
3/30/17,0.002930737,-0.000864897
3/31/17,-0.002257557,-0.002038015
4/4/17,0.000559441,0.001706638
4/5/17,-0.003059553,-0.001493093
4/6/17,0.001927634,0.001151843
4/7/17,-0.000827493,-0.001032683
4/11/17,-0.001434958,0.00569301
4/12/17,-0.003766996,0.000922819
